time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,4.52,2.21,0.0
20190101:0110,0.0,0.0,0.0,4.51,2.28,0.0
20190101:0210,0.0,0.0,0.0,4.5,2.34,0.0
20190101:0310,0.0,0.0,0.0,4.42,2.76,0.0
20190101:0410,0.0,0.0,0.0,4.27,2.9,0.0
20190101:0510,0.0,0.0,0.0,4.05,3.1,0.0
20190101:0610,0.0,0.0,0.0,3.86,3.1,0.0
20190101:0710,0.0,0.0,0.0,4.28,3.1,0.0
20190101:0810,365.0,7.35,6.68,4.3,3.52,0.0
20190101:0910,17190.0,54.23,12.37,4.58,4.34,0.0
20190101:1010,4425.0,21.14,16.09,4.55,4.62,0.0
20190101:1110,91480.0,218.57,17.52,4.54,4.76,0.0
20190101:1210,76260.0,185.58,16.5,4.43,4.83,0.0
20190101:1310,4745.0,22.06,13.15,4.32,5.31,0.0
20190101:1410,3215.0,17.46,7.78,3.94,4.9,0.0
20190101:1510,0.0,0.0,0.0,3.56,4.83,0.0
20190101:1610,0.0,0.0,0.0,3.36,4.9,0.0
20190101:1710,0.0,0.0,0.0,3.31,5.1,0.0
20190101:1810,0.0,0.0,0.0,3.37,5.24,0.0
20190101:1910,0.0,0.0,0.0,3.7,5.86,0.0
20190101:2010,0.0,0.0,0.0,3.34,6.55,0.0
20190101:2110,0.0,0.0,0.0,2.62,5.45,0.0
20190101:2210,0.0,0.0,0.0,2.14,5.66,0.0
20190101:2310,0.0,0.0,0.0,1.28,5.79,0.0
20190102:0010,0.0,0.0,0.0,0.62,6.0,0.0
20190102:0110,0.0,0.0,0.0,0.14,6.14,0.0
20190102:0210,0.0,0.0,0.0,-0.28,5.38,0.0
20190102:0310,0.0,0.0,0.0,-0.54,5.24,0.0
20190102:0410,0.0,0.0,0.0,-0.53,5.31,0.0
20190102:0510,0.0,0.0,0.0,-0.31,5.45,0.0
20190102:0610,0.0,0.0,0.0,-0.01,5.59,0.0
20190102:0710,0.0,0.0,0.0,0.5,5.52,0.0
20190102:0810,14795.0,47.43,6.71,0.24,5.1,0.0
20190102:0910,137055.0,311.33,12.41,0.44,4.62,0.0
20190102:1010,9645.0,34.93,16.15,0.89,4.97,0.0
20190102:1110,5480.0,23.9,17.6,1.29,5.03,0.0
20190102:1210,67795.0,164.93,16.61,0.94,5.38,0.0
20190102:1310,3280.0,17.46,13.27,0.54,4.9,0.0
20190102:1410,27790.0,77.6,7.9,0.3,4.97,0.0
20190102:1510,0.0,0.0,0.0,-0.06,4.83,0.0
20190102:1610,0.0,0.0,0.0,-0.73,4.34,0.0
20190102:1710,0.0,0.0,0.0,-1.15,4.28,0.0
20190102:1810,0.0,0.0,0.0,-1.46,4.07,0.0
20190102:1910,0.0,0.0,0.0,-1.51,3.72,0.0
20190102:2010,0.0,0.0,0.0,-1.64,3.86,0.0
20190102:2110,0.0,0.0,0.0,-1.61,3.72,0.0
20190102:2210,0.0,0.0,0.0,-1.68,3.66,0.0
20190102:2310,0.0,0.0,0.0,-1.74,3.38,0.0
20190103:0010,0.0,0.0,0.0,-1.9,3.38,0.0
20190103:0110,0.0,0.0,0.0,-2.15,3.1,0.0
20190103:0210,0.0,0.0,0.0,-2.14,3.1,0.0
20190103:0310,0.0,0.0,0.0,-2.37,3.03,0.0
20190103:0410,0.0,0.0,0.0,-2.48,3.03,0.0
20190103:0510,0.0,0.0,0.0,-2.69,3.03,0.0
20190103:0610,0.0,0.0,0.0,-2.93,3.03,0.0
20190103:0710,0.0,0.0,0.0,-2.71,2.48,0.0
20190103:0810,15760.0,49.29,6.74,-2.5,2.76,0.0
20190103:0910,52215.0,129.89,12.46,-2.15,3.03,0.0
20190103:1010,310085.0,697.57,16.23,-1.47,3.24,0.0
20190103:1110,261060.0,585.03,17.69,-0.78,3.45,0.0
20190103:1210,183090.0,410.86,16.71,-0.34,3.79,0.0
20190103:1310,34075.0,91.65,13.39,-0.16,4.0,0.0
20190103:1410,49640.0,125.59,8.03,-0.21,3.93,0.0
20190103:1510,0.0,0.0,0.0,-0.9,3.45,0.0
20190103:1610,0.0,0.0,0.0,-1.55,3.38,0.0
20190103:1710,0.0,0.0,0.0,-1.63,3.45,0.0
20190103:1810,0.0,0.0,0.0,-1.54,3.52,0.0
20190103:1910,0.0,0.0,0.0,-1.76,3.1,0.0
20190103:2010,0.0,0.0,0.0,-1.66,3.1,0.0
20190103:2110,0.0,0.0,0.0,-1.68,3.03,0.0
20190103:2210,0.0,0.0,0.0,-1.87,2.9,0.0
20190103:2310,0.0,0.0,0.0,-1.85,2.76,0.0
20190104:0010,0.0,0.0,0.0,-1.74,2.48,0.0
20190104:0110,0.0,0.0,0.0,-1.71,2.41,0.0
20190104:0210,0.0,0.0,0.0,-1.69,2.34,0.0
20190104:0310,0.0,0.0,0.0,-1.76,2.41,0.0
20190104:0410,0.0,0.0,0.0,-2.02,2.55,0.0
20190104:0510,0.0,0.0,0.0,-2.16,2.48,0.0
20190104:0610,0.0,0.0,0.0,-2.13,2.55,0.0
20190104:0710,0.0,0.0,0.0,-1.8,2.21,0.0
20190104:0810,390.0,7.35,6.78,-1.54,2.83,0.0
20190104:0910,30090.0,82.43,12.52,-1.11,3.03,0.0
20190104:1010,23590.0,68.02,16.31,-0.98,3.17,0.0
20190104:1110,27180.0,76.29,17.79,-0.64,3.59,0.0
20190104:1210,24730.0,70.77,16.83,-0.38,3.66,0.0
20190104:1310,20715.0,61.58,13.52,-0.03,4.0,0.0
20190104:1410,17650.0,54.24,8.16,-0.3,3.86,0.0
20190104:1510,0.0,0.0,0.0,-0.59,3.66,0.0
20190104:1610,0.0,0.0,0.0,-0.74,3.72,0.0
20190104:1710,0.0,0.0,0.0,-0.7,3.93,0.0
20190104:1810,0.0,0.0,0.0,-0.62,4.07,0.0
20190104:1910,0.0,0.0,0.0,-0.36,4.41,0.0
20190104:2010,0.0,0.0,0.0,-0.16,4.55,0.0
20190104:2110,0.0,0.0,0.0,-0.01,4.55,0.0
20190104:2210,0.0,0.0,0.0,0.1,4.41,0.0
20190104:2310,0.0,0.0,0.0,0.09,4.28,0.0
20190105:0010,0.0,0.0,0.0,0.19,4.28,0.0
20190105:0110,0.0,0.0,0.0,0.3,4.48,0.0
20190105:0210,0.0,0.0,0.0,0.37,4.62,0.0
20190105:0310,0.0,0.0,0.0,0.46,4.76,0.0
20190105:0410,0.0,0.0,0.0,0.51,4.69,0.0
20190105:0510,0.0,0.0,0.0,0.54,4.97,0.0
20190105:0610,0.0,0.0,0.0,0.58,5.17,0.0
20190105:0710,0.0,0.0,0.0,0.6,5.38,0.0
20190105:0810,65725.0,160.16,6.83,0.69,5.38,0.0
20190105:0910,270365.0,604.42,12.59,0.88,5.24,0.0
20190105:1010,23780.0,68.93,16.39,1.06,4.9,0.0
20190105:1110,118335.0,272.72,17.9,1.08,4.41,0.0
20190105:1210,32450.0,88.63,16.95,1.11,4.21,0.0
20190105:1310,51685.0,130.57,13.65,1.32,3.93,0.0
20190105:1410,137565.0,318.08,8.31,1.89,3.79,0.0
20190105:1510,0.0,0.0,0.0,2.39,3.45,0.0
20190105:1610,0.0,0.0,0.0,2.8,3.17,0.0
20190105:1710,0.0,0.0,0.0,3.09,3.03,0.0
20190105:1810,0.0,0.0,0.0,3.24,2.97,0.0
20190105:1910,0.0,0.0,0.0,3.2,3.24,0.0
20190105:2010,0.0,0.0,0.0,3.17,3.31,0.0
20190105:2110,0.0,0.0,0.0,3.15,3.31,0.0
20190105:2210,0.0,0.0,0.0,3.1,3.31,0.0
20190105:2310,0.0,0.0,0.0,3.12,3.24,0.0
20190106:0010,0.0,0.0,0.0,3.17,3.1,0.0
20190106:0110,0.0,0.0,0.0,3.15,3.03,0.0
20190106:0210,0.0,0.0,0.0,3.19,2.83,0.0
20190106:0310,0.0,0.0,0.0,3.09,2.69,0.0
20190106:0410,0.0,0.0,0.0,3.06,2.48,0.0
20190106:0510,0.0,0.0,0.0,2.96,2.28,0.0
20190106:0610,0.0,0.0,0.0,2.72,2.14,0.0
20190106:0710,0.0,0.0,0.0,2.48,2.28,0.0
20190106:0810,49045.0,125.49,6.89,2.24,2.21,0.0
20190106:0910,169820.0,388.99,12.66,2.14,2.14,0.0
20190106:1010,57590.0,144.45,16.49,2.3,2.41,0.0
20190106:1110,66090.0,163.16,18.01,2.69,2.97,0.0
20190106:1210,92095.0,219.22,17.08,2.82,2.83,0.0
20190106:1310,40295.0,106.63,13.79,2.73,2.34,0.0
20190106:1410,16835.0,52.99,8.45,2.98,2.62,0.0
20190106:1510,0.0,0.0,0.0,2.64,2.0,0.0
20190106:1610,0.0,0.0,0.0,2.28,1.93,0.0
20190106:1710,0.0,0.0,0.0,2.06,1.86,0.0
20190106:1810,0.0,0.0,0.0,2.0,1.72,0.0
20190106:1910,0.0,0.0,0.0,2.47,2.07,0.0
20190106:2010,0.0,0.0,0.0,2.63,2.21,0.0
20190106:2110,0.0,0.0,0.0,2.65,2.28,0.0
20190106:2210,0.0,0.0,0.0,2.66,2.07,0.0
20190106:2310,0.0,0.0,0.0,2.72,2.14,0.0
